2021-12-12 10:32:44.6959 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Client.Send | Socket connected to 127.0.0.1:34000 | 
2021-12-12 10:38:06.1467 | DEBUG | Hermes.Log.LogEngine | Hermes.Utility.Functions.Encrypt | Encrypt =Pc0wNzhU1BhH4bFhYn/KvF/lNbIomz1ojpJV2/k2WhUSosyrD1sQe+0yhx/Pqu96bZojuWFLwH5BH6nqfV1VxBwsc5Ro+FmaQFxoax6Wdj/qpsAbZTdwuqkzcYOQjYdEZN1to4KGAqFWJXSWjAyP5GAQhPm4myKRck7sIupFAXoBqt/22d61LOVKESv5MZ5GksdIQNoxLMxJjO/6r4JhIBVILnKVML8eWu05t99PxA4= | 
2021-12-12 10:38:06.1467 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Client.Send | Send Message = {"SenderIP":null,"SenderPort":0,"Date":"2021-12-12 10:38:06","MessageId":"e39f5305-c6de-4475-9e97-0a7b00b7bc31","ClientId":"c72db55f-c65e-4e6a-8bdb-891e5b38081c","TopicId":null,"Text":"AUTH1:Pc0wNzhU1BhH4bFhYn/KvF/lNbIomz1ojpJV2/k2WhUSosyrD1sQe+0yhx/Pqu96bZojuWFLwH5BH6nqfV1VxBwsc5Ro+FmaQFxoax6Wdj/qpsAbZTdwuqkzcYOQjYdE","Bag":null,"Token":"6NTHXXB6U1KWIA4CKEHL-47B33PPPK-LSFBXP6FS8V3MUA0UQF66DSVBQSO4IWRJ1-DD9GYP9ZNPAUS3C5-KPEH-UAH8RLKMEUWU7XWKRQ7OEGA7-W2OXH5X2ET8-19Y"} | 
2021-12-12 10:38:06.1467 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Client.Send | Socket connected to 127.0.0.1:34000 | 
2021-12-12 10:38:08.0356 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Client.Send | Response = Pc0wNzhU1BhH4bFhYn/KvF/lNbIomz1ojpJV2/k2WhUSosyrD1sQe+0yhx/Pqu96bZojuWFLwH5BH6nqfV1VxBwsc5Ro+FmaQFxoax6Wdj/qpsAbZTdwuqkzcYOQjYdE | 
2021-12-12 10:38:08.0356 | DEBUG | Hermes.Log.LogEngine | Hermes.Comunication.Client.Client.Connect | dataReturn =Pc0wNzhU1BhH4bFhYn/KvF/lNbIomz1ojpJV2/k2WhUSosyrD1sQe+0yhx/Pqu96bZojuWFLwH5BH6nqfV1VxBwsc5Ro+FmaQFxoax6Wdj/qpsAbZTdwuqkzcYOQjYdE | 
2021-12-12 10:46:27.5711 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Client.Send | Send Message = {"SenderIP":null,"SenderPort":0,"Date":"2021-12-12 10:46:27","MessageId":"b13c6810-30e7-47e9-ae40-b042869f1c58","ClientId":"1364c76a-0732-4e32-846b-81d0f3c84b1a","TopicId":null,"Text":"AUTH0:","Bag":null,"Token":null} | 
2021-12-12 10:46:27.6489 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Client.Send | Socket connected to 127.0.0.1:34000 | 
2021-12-12 10:46:34.2501 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Client.Send | Response = {"SenderIP":null,"SenderPort":0,"Date":"2021-12-12 10:46:31","MessageId":"a6972925-d349-4a1b-9847-327481f471e6","ClientId":"1364c76a-0732-4e32-846b-81d0f3c84b1a","TopicId":null,"Text":"AUTH0:","Bag":null,"Token":"3SY8BB7570E4XF8DAPWACCT5UO65ER2KXM54MSVFT61EDUZTY7-I84Z094NYFC0P84GKLE2S5RRHMO1A0NGHSUN4XE5SE8-RFLGJOOIUFRNQMSOVCN836S8ORNXGJJO7"} | 
2021-12-12 10:46:34.3214 | DEBUG | Hermes.Log.LogEngine | Hermes.Comunication.Client.Client.Connect | Messagio Ricevuto ={"SenderIP":null,"SenderPort":0,"Date":"2021-12-12 10:46:34","MessageId":"29ce2163-25dd-4808-9698-e67cf851552f","ClientId":"1364c76a-0732-4e32-846b-81d0f3c84b1a","TopicId":null,"Text":"AUTH0:","Bag":null,"Token":"3SY8BB7570E4XF8DAPWACCT5UO65ER2KXM54MSVFT61EDUZTY7-I84Z094NYFC0P84GKLE2S5RRHMO1A0NGHSUN4XE5SE8-RFLGJOOIUFRNQMSOVCN836S8ORNXGJJO7"} | 
2021-12-12 10:46:34.3214 | DEBUG | Hermes.Log.LogEngine | Hermes.Utility.Functions.Encrypt | Encrypt =M8fQrCq5nxxFHH4OLhoXhwIMpOy7XDYLw3R2ttv3i/Z2ARGHdrt75ub/EsZHpd4RzBKlaAWxHA2ssM00nNZVI7HOF97A/Hw4P5Lop3u3I520+qTAi0BAye8K9S58J1vQvIKkkW+XthqWixGS9fRrPdlR0wSX4vQ37kKfeAxKlBdekNNl/DwM8pnYrws/WplIPkQv1yKD+cHWCyY4V5/CNTIWUsMY8WXOOIeTFuEEYuA= | 
2021-12-12 10:46:34.3214 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Client.Send | Send Message = {"SenderIP":null,"SenderPort":0,"Date":"2021-12-12 10:46:34","MessageId":"29ce2163-25dd-4808-9698-e67cf851552f","ClientId":"1364c76a-0732-4e32-846b-81d0f3c84b1a","TopicId":null,"Text":"AUTH1:M8fQrCq5nxxFHH4OLhoXhwIMpOy7XDYLw3R2ttv3i/Z2ARGHdrt75ub/EsZHpd4RzBKlaAWxHA2ssM00nNZVI7HOF97A/Hw4P5Lop3u3I520+qTAi0BAye8K9S58J1vQ","Bag":null,"Token":"3SY8BB7570E4XF8DAPWACCT5UO65ER2KXM54MSVFT61EDUZTY7-I84Z094NYFC0P84GKLE2S5RRHMO1A0NGHSUN4XE5SE8-RFLGJOOIUFRNQMSOVCN836S8ORNXGJJO7"} | 
2021-12-12 10:46:34.3214 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Client.Send | Socket connected to 127.0.0.1:34000 | 
2021-12-12 10:46:36.9909 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Client.Send | Response = M8fQrCq5nxxFHH4OLhoXhwIMpOy7XDYLw3R2ttv3i/Z2ARGHdrt75ub/EsZHpd4RzBKlaAWxHA2ssM00nNZVI7HOF97A/Hw4P5Lop3u3I520+qTAi0BAye8K9S58J1vQ | 
2021-12-12 10:46:36.9909 | DEBUG | Hermes.Log.LogEngine | Hermes.Comunication.Client.Client.Connect | dataReturn =M8fQrCq5nxxFHH4OLhoXhwIMpOy7XDYLw3R2ttv3i/Z2ARGHdrt75ub/EsZHpd4RzBKlaAWxHA2ssM00nNZVI7HOF97A/Hw4P5Lop3u3I520+qTAi0BAye8K9S58J1vQ | 
2021-12-12 10:46:46.8705 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Client.Send | Send Message = {"SenderIP":null,"SenderPort":0,"Date":"2021-12-12 10:46:41","MessageId":"e73df6fe-2e26-4543-9e3b-f14c17e62e16","ClientId":"1364c76a-0732-4e32-846b-81d0f3c84b1a","TopicId":null,"Text":"GETTOPIC:MAZZA","Bag":null,"Token":"M8fQrCq5nxxFHH4OLhoXhwIMpOy7XDYLw3R2ttv3i/Z2ARGHdrt75ub/EsZHpd4RzBKlaAWxHA2ssM00nNZVI7HOF97A/Hw4P5Lop3u3I520+qTAi0BAye8K9S58J1vQ"} | 
2021-12-12 10:46:46.8705 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Client.Send | Socket connected to 127.0.0.1:34000 | 
2021-12-12 10:48:59.5530 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Client.Send | Response = {"SenderIP":null,"SenderPort":0,"Date":"2021-12-12 10:46:50","MessageId":"9345ad26-34cc-429c-8f9e-eaa85c257a5c","ClientId":"1364c76a-0732-4e32-846b-81d0f3c84b1a","TopicId":null,"Text":"GETTOPIC:MAZZA","Bag":"206d76fb-7d6e-483d-9550-721152aca8fc","Token":"M8fQrCq5nxxFHH4OLhoXhwIMpOy7XDYLw3R2ttv3i/Z2ARGHdrt75ub/EsZHpd4RzBKlaAWxHA2ssM00nNZVI7HOF97A/Hw4P5Lop3u3I520+qTAi0BAye8K9S58J1vQ"} | 
2021-12-12 10:54:48.3942 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Client.Send | Send Message = {"SenderIP":null,"SenderPort":0,"Date":"2021-12-12 10:54:47","MessageId":"57d567f8-52ae-4a00-9fd5-257926235da0","ClientId":"4ed69122-5974-4e19-934e-a215f1e0a944","TopicId":null,"Text":"AUTH0:","Bag":null,"Token":null} | 
2021-12-12 10:54:48.4292 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Client.Send | Socket connected to 127.0.0.1:34000 | 
2021-12-12 10:54:53.7368 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Client.Send | Response = {"SenderIP":null,"SenderPort":0,"Date":"2021-12-12 10:54:51","MessageId":"8095083a-0c78-44b8-809d-291bf0b66d24","ClientId":"4ed69122-5974-4e19-934e-a215f1e0a944","TopicId":null,"Text":"AUTH0:","Bag":null,"Token":"OZZRO6SZUN99E5N8B36B8C-69YV0NTTBT1MSO8MJF0P5UAFPHT4MPNPMZ3T1K2LA58QNT6UEQW7HXFL9TGT5ZGXGLA3VOW9NOOAXU26M-Z63QHZUSVIDJRMYKKBTC905"} | 
2021-12-12 10:54:53.7982 | DEBUG | Hermes.Log.LogEngine | Hermes.Comunication.Client.Client.Connect | Messagio Ricevuto ={"SenderIP":null,"SenderPort":0,"Date":"2021-12-12 10:54:53","MessageId":"ef23a6e3-df3b-4247-8be7-eb4893d77cb2","ClientId":"4ed69122-5974-4e19-934e-a215f1e0a944","TopicId":null,"Text":"AUTH0:","Bag":null,"Token":"OZZRO6SZUN99E5N8B36B8C-69YV0NTTBT1MSO8MJF0P5UAFPHT4MPNPMZ3T1K2LA58QNT6UEQW7HXFL9TGT5ZGXGLA3VOW9NOOAXU26M-Z63QHZUSVIDJRMYKKBTC905"} | 
2021-12-12 10:54:53.7982 | DEBUG | Hermes.Log.LogEngine | Hermes.Utility.Functions.Encrypt | Encrypt =sIoHrfF8f/NQIff6/oCXvd64ODRwFZ/KNjdOPmRbks4K7DKHtBFgFaPaKc94GWphULhPcuP/ctX183cXnu+Q/kb4aNem7ru8MvgaJzFJsc8MF+FVLaNNT2xAtjo+P3kJhpf1Cb97L5n+u1rvgJOMko+edqh5oKzJUp9BSQ1BXMsq3rTeXwPC/G4GKwchHm3z/PksjyBOn1sXvXraGLHsswjWkYqs4zntm2N3Hx293H0= | 
2021-12-12 10:54:53.7982 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Client.Send | Send Message = {"SenderIP":null,"SenderPort":0,"Date":"2021-12-12 10:54:53","MessageId":"ef23a6e3-df3b-4247-8be7-eb4893d77cb2","ClientId":"4ed69122-5974-4e19-934e-a215f1e0a944","TopicId":null,"Text":"AUTH1:sIoHrfF8f/NQIff6/oCXvd64ODRwFZ/KNjdOPmRbks4K7DKHtBFgFaPaKc94GWphULhPcuP/ctX183cXnu+Q/kb4aNem7ru8MvgaJzFJsc8MF+FVLaNNT2xAtjo+P3kJ","Bag":null,"Token":"OZZRO6SZUN99E5N8B36B8C-69YV0NTTBT1MSO8MJF0P5UAFPHT4MPNPMZ3T1K2LA58QNT6UEQW7HXFL9TGT5ZGXGLA3VOW9NOOAXU26M-Z63QHZUSVIDJRMYKKBTC905"} | 
2021-12-12 10:54:53.8034 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Client.Send | Socket connected to 127.0.0.1:34000 | 
2021-12-12 10:54:56.5119 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Client.Send | Response = sIoHrfF8f/NQIff6/oCXvd64ODRwFZ/KNjdOPmRbks4K7DKHtBFgFaPaKc94GWphULhPcuP/ctX183cXnu+Q/kb4aNem7ru8MvgaJzFJsc8MF+FVLaNNT2xAtjo+P3kJ | 
2021-12-12 10:54:56.5119 | DEBUG | Hermes.Log.LogEngine | Hermes.Comunication.Client.Client.Connect | dataReturn =sIoHrfF8f/NQIff6/oCXvd64ODRwFZ/KNjdOPmRbks4K7DKHtBFgFaPaKc94GWphULhPcuP/ctX183cXnu+Q/kb4aNem7ru8MvgaJzFJsc8MF+FVLaNNT2xAtjo+P3kJ | 
2021-12-12 10:55:01.8921 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Client.Send | Send Message = {"SenderIP":null,"SenderPort":0,"Date":"2021-12-12 10:55:01","MessageId":"5d19259c-55be-4af0-955c-1ea82411d03d","ClientId":"4ed69122-5974-4e19-934e-a215f1e0a944","TopicId":null,"Text":"GETTOPIC:MAZZA","Bag":null,"Token":"sIoHrfF8f/NQIff6/oCXvd64ODRwFZ/KNjdOPmRbks4K7DKHtBFgFaPaKc94GWphULhPcuP/ctX183cXnu+Q/kb4aNem7ru8MvgaJzFJsc8MF+FVLaNNT2xAtjo+P3kJ"} | 
2021-12-12 10:55:01.8921 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Client.Send | Socket connected to 127.0.0.1:34000 | 
2021-12-12 10:55:05.4101 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Client.Send | Response = {"SenderIP":null,"SenderPort":0,"Date":"2021-12-12 10:55:05","MessageId":"2599114f-026c-4c59-b33b-2d31208cb2bf","ClientId":"4ed69122-5974-4e19-934e-a215f1e0a944","TopicId":null,"Text":"GETTOPIC:MAZZA","Bag":"5f0d0427-a387-414d-ab07-168bd3f8f214","Token":"sIoHrfF8f/NQIff6/oCXvd64ODRwFZ/KNjdOPmRbks4K7DKHtBFgFaPaKc94GWphULhPcuP/ctX183cXnu+Q/kb4aNem7ru8MvgaJzFJsc8MF+FVLaNNT2xAtjo+P3kJ"} | 
