2021-12-12 10:32:44.1701 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 | Connected! | 
2021-12-12 10:54:53.8279 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.HandleConnection | Data Received: {"SenderIP":null,"SenderPort":0,"Date":"2021-12-12 10:54:53","MessageId":"ef23a6e3-df3b-4247-8be7-eb4893d77cb2","ClientId":"4ed69122-5974-4e19-934e-a215f1e0a944","TopicId":null,"Text":"AUTH1:sIoHrfF8f/NQIff6/oCXvd64ODRwFZ/KNjdOPmRbks4K7DKHtBFgFaPaKc94GWphULhPcuP/ctX183cXnu+Q/kb4aNem7ru8MvgaJzFJsc8MF+FVLaNNT2xAtjo+P3kJ","Bag":null,"Token":"OZZRO6SZUN99E5N8B36B8C-69YV0NTTBT1MSO8MJF0P5UAFPHT4MPNPMZ3T1K2LA58QNT6UEQW7HXFL9TGT5ZGXGLA3VOW9NOOAXU26M-Z63QHZUSVIDJRMYKKBTC905"} | 
2021-12-12 10:54:53.8279 | DEBUG | Hermes.Log.LogEngine | Hermes.Comunication.Server.Server.<.ctor>b__6_0 | RerceivedData = | 
2021-12-12 10:54:55.4183 | DEBUG | Hermes.Log.LogEngine | Hermes.Comunication.Server.Server.<.ctor>b__6_0 | received = | 
2021-12-12 10:54:56.5119 | DEBUG | Hermes.Log.LogEngine | Hermes.Utility.Functions.Encrypt | Encrypt =sIoHrfF8f/NQIff6/oCXvd64ODRwFZ/KNjdOPmRbks4K7DKHtBFgFaPaKc94GWphULhPcuP/ctX183cXnu+Q/kb4aNem7ru8MvgaJzFJsc8MF+FVLaNNT2xAtjo+P3kJhpf1Cb97L5n+u1rvgJOMko+edqh5oKzJUp9BSQ1BXMsq3rTeXwPC/G4GKwchHm3z/PksjyBOn1sXvXraGLHsswjWkYqs4zntm2N3Hx293H0= | 
2021-12-12 10:54:56.5119 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.HandleConnection | Sent: sIoHrfF8f/NQIff6/oCXvd64ODRwFZ/KNjdOPmRbks4K7DKHtBFgFaPaKc94GWphULhPcuP/ctX183cXnu+Q/kb4aNem7ru8MvgaJzFJsc8MF+FVLaNNT2xAtjo+P3kJ | 
2021-12-12 10:55:01.8927 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 | Connected! | 
2021-12-12 10:55:01.9193 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.HandleConnection | Data Received: {"SenderIP":null,"SenderPort":0,"Date":"2021-12-12 10:55:01","MessageId":"5d19259c-55be-4af0-955c-1ea82411d03d","ClientId":"4ed69122-5974-4e19-934e-a215f1e0a944","TopicId":null,"Text":"GETTOPIC:MAZZA","Bag":null,"Token":"sIoHrfF8f/NQIff6/oCXvd64ODRwFZ/KNjdOPmRbks4K7DKHtBFgFaPaKc94GWphULhPcuP/ctX183cXnu+Q/kb4aNem7ru8MvgaJzFJsc8MF+FVLaNNT2xAtjo+P3kJ"} | 
2021-12-12 10:55:01.9193 | DEBUG | Hermes.Log.LogEngine | Hermes.Comunication.Server.Server.<.ctor>b__6_0 | RerceivedData = | 
2021-12-12 10:55:05.4061 | DEBUG | Hermes.Log.LogEngine | Hermes.Comunication.Server.Server.<.ctor>b__6_0 | received = | 
2021-12-12 10:55:05.4061 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.HandleConnection | Sent: {"SenderIP":null,"SenderPort":0,"Date":"2021-12-12 10:55:05","MessageId":"2599114f-026c-4c59-b33b-2d31208cb2bf","ClientId":"4ed69122-5974-4e19-934e-a215f1e0a944","TopicId":null,"Text":"GETTOPIC:MAZZA","Bag":"5f0d0427-a387-414d-ab07-168bd3f8f214","Token":"sIoHrfF8f/NQIff6/oCXvd64ODRwFZ/KNjdOPmRbks4K7DKHtBFgFaPaKc94GWphULhPcuP/ctX183cXnu+Q/kb4aNem7ru8MvgaJzFJsc8MF+FVLaNNT2xAtjo+P3kJ"} | 
