2021-12-07 09:37:54.7557 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.Start |  Server start in 127.0.0.1:34000 | 
2021-12-07 16:18:48.0288 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
2021-12-07 16:21:44.4672 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.Start |  Server start in 127.0.0.1:34000 | 
2021-12-07 16:21:44.4912 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
2021-12-07 16:21:55.2117 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
2021-12-07 16:22:11.7501 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
2021-12-07 16:23:54.3342 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.Start |  Server start in 127.0.0.1:34000 | 
2021-12-07 16:23:54.3572 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
2021-12-07 16:24:03.1396 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
2021-12-07 16:24:10.1763 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
2021-12-07 16:24:33.1037 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
2021-12-07 16:24:38.9819 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
2021-12-07 16:28:57.8994 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.Start |  Server start in 127.0.0.1:34000 | 
2021-12-07 16:28:57.9234 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
2021-12-07 16:29:05.2128 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
2021-12-07 16:29:20.6492 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
2021-12-07 16:31:39.2477 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.Start |  Server start in 127.0.0.1:34000 | 
2021-12-07 16:31:39.3348 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
2021-12-07 16:31:56.8637 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
2021-12-07 16:32:27.5015 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
2021-12-07 16:43:17.4459 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.Start |  Server start in 127.0.0.1:34000 | 
2021-12-07 16:43:17.4638 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
2021-12-07 16:43:28.3028 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
2021-12-07 16:43:28.6658 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
2021-12-07 16:45:54.7320 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
2021-12-07 16:46:04.8828 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
2021-12-07 16:47:27.7824 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
2021-12-07 16:47:46.3558 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
2021-12-07 16:50:15.4894 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.Start |  Server start in 127.0.0.1:34000 | 
2021-12-07 16:50:15.5264 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
2021-12-07 16:50:19.1204 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
2021-12-07 16:50:29.6470 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
2021-12-07 16:58:40.4845 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.Start |  Server start in 127.0.0.1:34000 | 
2021-12-07 16:58:40.5025 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
2021-12-07 16:58:48.7180 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
2021-12-07 16:59:05.2221 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
2021-12-07 17:01:38.6461 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.Start |  Server start in 127.0.0.1:34000 | 
2021-12-07 17:01:38.6681 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
2021-12-07 17:01:45.0027 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
2021-12-07 17:06:37.9614 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.Start |  Server start in 127.0.0.1:34000 | 
2021-12-07 17:06:37.9854 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
2021-12-07 17:06:51.5317 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
2021-12-07 17:06:57.4107 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
